location,outbreak_number,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat,who_region,start_date,end_date,total_confirmed_cases,spatial_scale,location_period_id,time_to_peak..weeks.,latitude,longitude
afr::cod::katanga::mulongohealthdistrict,1,Monday,16,0.496712268,225,0.811701946,6.0,2.666666667,weekly,COD,277195.3,4200.032221,1.94,65.99837463,Rural settings,"Population <1,000,000",AFR,9/10/2012,12/30/2012,,admin2,14401,6.0,-7.838707,26.97001
afr::cod::katanga::nyembahealthdistrict,2,Monday,26,5.387825234,818,3.666232245,3.0,0.366748166,weekly,COD,223117.3,8154.134315,1.7,27.36247545,Rural settings,"Population <1,000,000",AFR,8/15/2011,2/12/2012,,admin2,14403,20.0,-4.998788,29.1205
afr::cod::katanga::nyembahealthdistrict,3,Monday,15,5.387825234,504,1.780271571,1.0,0.198412698,weekly,COD,283102.9,8154.134315,1.19,34.71894,Rural settings,"Population <1,000,000",AFR,8/11/2014,11/23/2014,,admin2,14403,3.0,-4.998788,29.1205
afr::cod::katanga::nyembahealthdistrict::lubuye,2,Monday,16,5.317633607,85,2.630969791,0.0,0.0,weekly,COD,32307.5,174.9544482,1.87,184.6623526,Rural settings,"Population <100,000",AFR,9/13/2010,1/2/2011,,admin3,15021,4.0,-5.812235,29.26716
afr::cod::katanga::nyembahealthdistrict::lubuye,4,Monday,23,5.317633607,72,1.978295208,0.0,0.0,weekly,COD,36395.0,174.9544482,1.76,208.0255768,Rural settings,"Population <100,000",AFR,10/10/2011,3/18/2012,,admin3,15021,3.0,-5.812235,29.26716
afr::cod::katanga::nyembahealthdistrict::tabacongo,1,Monday,19,12.84556126,86,9.881657767,2.0,2.325581395,weekly,COD,8703.0,249.7799254,1.72,34.84267195,Rural settings,"Population <10,000",AFR,9/20/2010,1/30/2011,,admin3,15022,3.0,-5.733508,29.27831
afr::cod::katanga::nyembahealthdistrict::undugu,2,Monday,26,16.73827249,238,8.724369533,0.0,0.0,weekly,COD,27279.9,43.4758356,1.62,627.4727012,Rural settings,"Population <100,000",AFR,8/29/2011,2/26/2012,,admin3,15023,18.0,-5.846391,29.15735
afr::cod::katanga::nyembahealthdistrict::undugu,3,Monday,13,16.73827249,75,2.578826638,0.0,0.0,weekly,COD,29083.0,43.4758356,1.94,668.9463146,Rural settings,"Population <100,000",AFR,8/13/2012,11/11/2012,,admin3,15023,3.0,-5.846391,29.15735
afr::cod::katanga::pwetohealthdistrict,1,Monday,26,2.162757117,654,3.219415933,35.0,5.351681957,weekly,COD,203142.4,9492.313096,1.72,21.40072688,Rural settings,"Population <1,000,000",AFR,2/18/2013,8/18/2013,,admin2,14406,3.0,-7.622685,28.5481
afr::cod::kinshasa::malukuihealthdistrict,3,Monday,43,1.168850974,146,2.533874539,4.0,2.739726027,weekly,COD,57619.3,5394.379622,1.8,10.68135801,Rural settings,"Population <100,000",AFR,9/5/2011,7/1/2012,,admin2,14455,5.0,-3.930694,15.95067
afr::cod::kinshasa::malukuiihealthdistrict,5,Monday,79,0.529225882,356,2.40786233,5.0,1.404494382,weekly,COD,147849.0,3339.400769,2.09,44.2741109,Rural settings,"Population <1,000,000",AFR,6/27/2011,12/30/2012,,admin2,14456,3.0,-3.955803,15.907
afr::cod::kinshasa::montngafulaihealthdistrict,1,Monday,15,0.044761928,11,0.048819565,0.0,0.0,weekly,COD,225319.5,399.5076778,1.97,563.9929156,Rural settings,"Population <1,000,000",AFR,7/18/2011,10/30/2011,,admin2,14460,3.0,-4.395018,15.30769
afr::cod::kinshasa::nselehealthdistrict,1,Monday,45,0.165346185,43,0.305618551,0.0,0.0,weekly,COD,140698.3,821.9405211,1.93,171.1782013,Rural settings,"Population <1,000,000",AFR,9/19/2011,7/29/2012,,admin2,14466,27.0,-4.253331,15.5576
afr::cod::kongocentral,1,Monday,3,0.138048127,74,0.024337946,3.0,4.054054054,weekly,COD,3040519.5,54118.17999,1.5,56.18295923,Rural settings,"Population >1,000,000",AFR,12/12/2016,1/1/2017,,admin1,3457,3.0,-6.021805763244572,12.45763969421398
afr::cod::kongocentral::bomabunguhealthdistrict,1,Monday,41,0.36544829,63,1.152059743,3.0,4.761904762,weekly,COD,54684.7,2595.452524,1.91,21.06942797,Rural settings,"Population <100,000",AFR,2/13/2012,11/25/2012,,admin2,14472,4.0,-5.49015,12.90353
